player__participant__session__code,player__participant__session_id,player__participant__id_in_session,player__participant__code,channel,word,timestamp
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,stab,1501188263.50425
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,cats,1501188264.18413
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,tread,1501188265.317
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,treads,1501188266.50775
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tuba,1501188268.35943
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,cute,1501188269.09414
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tube,1501188270.17068
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,dart,1501188272.21225
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tubes,1501188275.9043
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,rat,1501188278.01303
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,rates,1501188279.52472
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bet,1501188280.37765
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,rate,1501188281.08272
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tubaist,1501188285.2549
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,daters,1501188289.39258
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,statue,1501188291.21912
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,suite,1501188297.25655
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,eon,1501188297.70535
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,ted,1501188299.11126
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tabs,1501188304.8614
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tate,1501188305.69488
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,ken,1501188306.37731
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,tab,1501188306.6467
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,note,1501188309.24764
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,not,1501188311.55779
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,derk,1501188312.15654
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,net,1501188314.14475
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,nets,1501188316.71627
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,sei,1501188317.77624
89ykytnu,20,11,h9em0uts,word-20-anagrams-40,hel,1501188319.9204
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,tease,1501188322.13246
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,butt,1501188323.82227
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,rend,1501188324.54197
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,beta,1501188325.88798
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,rends,1501188328.7572
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,state,1501188330.27592
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,baste,1501188330.68158
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,sacred,1501188333.21193
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,bastes,1501188333.57297
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,states,1501188333.83568
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,tent,1501188337.75686
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,net,1501188337.86271
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,dern,1501188338.11835
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,suites,1501188341.24345
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,kern,1501188341.4663
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,cadets,1501188341.84535
89ykytnu,20,11,h9em0uts,word-20-anagrams-40,bel,1501188343.1429
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,cadet,1501188343.21771
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,ton,1501188345.51639
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,ten,1501188347.63891
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,traces,1501188349.52181
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,ace,1501188350.7405
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,derk,1501188351.42935
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,carets,1501188352.41615
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,tone,1501188356.44887
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,recast,1501188357.20217
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,cast,1501188357.97299
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,but,1501188360.31864
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,nes,1501188360.67035
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,butt,1501188361.99479
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,des,1501188363.52696
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,astute,1501188364.72072
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,res,1501188364.83659
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,tent,1501188367.67067
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,stabs,1501188368.0129
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,net,1501188368.61897
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,tents,1501188370.45819
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,states,1501188370.50845
89ykytnu,20,2,b3bzjv7x,word-20-anagrams-40,sen,1501188374.07192
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,beaut,1501188376.41453
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,ten,1501188380.77877
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,redacts,1501188381.18274
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bent,1501188383.62836
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,abuse,1501188384.43964
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,tube,1501188385.39321
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,abuses,1501188386.26189
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,tub,1501188388.42363
89ykytnu,20,4,dw7sds69,word-20-anagrams-40,scarted,1501188389.25779
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bet,1501188390.73308
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,cut,1501188391.61314
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,statues,1501188395.1847
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,uno,1501188396.29818
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,sken,1501188397.86596
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,cuts,1501188398.06758
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bone,1501188403.22968
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,situates,1501188404.5954
89ykytnu,20,3,z5lhq79j,word-20-anagrams-40,nes,1501188404.7046
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bon,1501188409.09236
89ykytnu,20,5,4ft3yddt,word-20-anagrams-40,teat,1501188412.73417
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,sub,1501188412.79394
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,tine,1501188416.41703
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,subs,1501188417.15556
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,bun,1501188418.1207
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,stubs,1501188418.89633
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bin,1501188419.57769
89ykytnu,20,6,0g1vpmuv,word-20-anagrams-40,stub,1501188420.34642
89ykytnu,20,8,peh9x2qq,word-20-anagrams-40,bine,1501188420.97974
89ykytnu,20,7,v7hqx6y9,word-20-anagrams-40,ton,1501188422.39798
